Originator,Text,Age,Person whose age we surmised
tofishout , 16 unique inspiring holiday gifts for your family and friends http://t.co/AbNoiv6OQJ #Birthday #Wedding #Anniversary #Gift @retwitclub
thatnaturalist , RT @Disney: It's been 59 years since #LadyAndTheTramp went on their first date. http://t.co/DXpTpB7q1h
Chacha_LC , @Real_Liam_Payne hi sunshine  today is my birthday  and your following will be the greatest present ever  I love you so much  x82
TooCooMedia , Five Innovations That Will Transform Ecommerce In The Next 10 Years http://t.co/hxgNYZ9o0E via @forbes
_Moord , @justinbieber Hey .. it's my birthday. Can you follow me if you please? This would be the greatest gift. I love you very much  x34
simonleuf , RT @AJELive: Al Jazeera journalists sentenced to at least seven years in jail in #Egypt. #freeAJstaff http://t.co/AVGVRNPRps
janoftdirection ,  @TTLYTEALA #FOLLOWMETEALA my birthday is june 26 &amp; I'll i want is a follow from you! ive beem trying so hard!  11
weirdofhemmings , @Ashton5SOS @Calum5SOS @Michael5SOS @Luke5SOS  IT'S MY BIRTHDAY PLEASE FOLLOW ME I'AM SO PROUD OF YOU I LOVE YOU GUYS 77
skylarrmeyers , @OfficialSeanB_: It be like that sometimes  http://t.co/xePTS8ItJK same people 3 years in a row 
Sissy2814 , RT @shannongar72: @DogRescueTweets @KKCO11News 1year old Satchmo is waiting 4u! Rifle Animal Shelter 9706258808 #Colorado http://t.co/v2d9K
idcmackenzie , RT @SamFazz: happy birthday @RyanAbe!!! thx for making my best friend so happy!! hope u get to touch the butt 2night 
ohmyjennifahz , @JLo my wish is a birthday tweet from my queen. this can make me the happiest girl in the world and it's up to you mama. i luh ya &lt;3 x37
xMrs_Reynoldsx , @ArianaGrande Happy birthday i can't believe how you grew up.Oh god i look like a mother #HappyBirthdayAriana x93
WolvesAtNight , RT @Yankees: Icon. Champion. Captain. Happy 40th birthday to Derek Jeter! http://t.co/fbVZEWxmvc http://t.co/tllUxkbHPo
mccurdypieterse ," @ArianaGrande Hey baby, can you wish ""happy birthday"" to my friend @buteranettie? Please, she loves you so muchhhh x5"
valuablebutera , RT @AllisonKaye: Happy happy birthday @ArianaGrande!!!!! May 21 be your best year yet!
Mjoya10 ," Happy Birthday lil bro, you're finally 15  love you  @OJb4Lemonade http://t.co/3hBXcrPC7G"
hesftzjm , @zaynmalik helloo zee:D it's MY birthday so soon  and a follow would be THE BEST present ever  it's ALL i want  i LOVE YOU. xx9
irenerollness , RT @ManCandyPics: 16 year old Johnny Depp http://t.co/UfwUbNC6Z1
TeaLjondova , @TheMattEspinosa Matt my wish for my upcoming birthday is for you to follow me please and also my birthday is on 9th July.
Scarfac3__ ," RT @UberFootFact: Happy Birthday to one of the greatest footballers ever, Zinedine Zidane! http://t.co/KX2y6Vgge9"
fluffycakeharry , @ArianaGrande Happy Birthday! 21 already wow! xx
5secsofcam_ , RT @taylorcaniff: Haha funny seeing people upset about a video I made 2 years ago... Everyone's aloud an opinion...
xAchromatic ," RT @FutballTweets: 27 years ago, the legend was born! Happy Birthday Leo Messi! http://t.co/aoSHY01Sah"
LawdImJusPlayin , Aaahhh. The face tho. Never knew  RT @indicxt: @LawdImJusPlayin @_BrandonL because the World Cup IS every four years 
drew_emery , RT @worldsoccershop: Win a limited edition pair of @adidassoccer #F50 #Messi Birthday Boots! Follow &amp; RT to enter! #allin or nothing. http:
Kego_S , RT @OfficialCSA: Happy 29th birthday @VDP_24 ! Have a great day and many more! http://t.co/wop66UNtA0
karolinagor ," @5SOS I'd love to get from you follow for my birthday which will be on Friday, it would be the best gift I could get. Love you #206"
yesuy ," RT @TCS_SocSoc: See wat a Messi goal does to Twitter! Happy Birthday Lionel Messi, keep making magic forever! #SocialSoccer #Messi27 http:/"
IseiNat , OH! @TelegraphNews: Al Jazeera journalists sentenced to seven years in prison http://t.co/kjj2t2LoUe #AJTrial
toxicboystyles , @Harry_Styles @NiallOfficial @Real_Liam_Payne @zaynmalik @Louis_Tomlinson please follow me darlings for my birthday? i love you! x4231
ASHtonIn1D , @5SOS @Ashton5SOS #5sosupindisstream LIVESTREAM  Could u say happy birthday to me? Mebi follow bc I love u? 27
up9llnight , @JacobWhitesides  TODAY IS RAQUEL'S (@drewfeatddl ) BIRTHDAY!  PLEASE FOLLOW US! WE LOVE YOU SO MUCH! 27
chelseyhope_ , RT @dariatbh: You are not a hippy flower child you are a 16 year old in the year 2014 in a Pac Sun t-shirt knock it off.,
fckzbieb3r ," @EmblemThree @wesleystromberg @KeatonStromberg PLEASE SAY HAPPY BIRTHDAY TO MY BEST FRIEND MARINA, WE LOVES U @jkyliez #FiresideLiveChat 5",
robert_jago , RT @Lisa_Wilkinson: Can't believe that Egypt has just sentenced Australian journalist #PeterGreste to 7 years jail for simply doing his job,
trinijay3 , @Rawandaaa oh okay nice nice!! yup you got like 8 more years to go ! so one year is needed!!,
_asspinosa , @ArianaGrande it's my birthday next month and it would mean the world to me if you followed me. Ilysm 4,
RayB212 , Happy birthday Ralpho have a good one @ralphy2124 ,
LittleReeder_98 , RT @teenagernotes: sometimes you just need to lay on the floor and do nothing for three years,
duhernesto , RT @worldsoccershop: Win a limited edition pair of @adidassoccer #F50 #Messi Birthday Boots! Follow &amp; RT to enter! #allin or nothing. http:,
brokenxliam ," @Michael5SOS @Luke5SOS @Calum5SOS @Ashton5SOS tomorrow is my birthday bae you can follow me for I pass the best birthday of my life xx20,390",
MCCANNDARLING , RT @ButeraGalaxyx: 3 days until Ariana's birthday oh my #10daysUntilBreakFree,
veal_robert ," RT @MLB: Legend. Captain. Mr. November. Happy 40th birthday to No. 2, Derek Jeter: http://t.co/nQcRNYlpu9 http://t.co/uCzXMGUdjE",
WorldAmieKonte , RT @JB17Official: Happy Birthday Bro! @David_AlabaGreetings from Brazil #da27 #jb17,
Nikkkkilynch , RT @JocelynMazur: @Nikkkkilynch Happy 17th birthday boo thang,
MorjGee , 16 unique inspiring holiday gifts for your family and friends http://t.co/GMZgshV7O4 #Birthday #Wedding #Anniversary #Gift @retwitclub 4,-1
cocohunny ," RT @tkafkaquotes: On the evening before K.'s 31st birthday -- it was about 9:00, the time when a hush falls on the streets -- two men came ",
LinziDixon , RT @Mr_Mike_Clarke: The Lady and the Tramp went on their first date on this day... 59 years ago! Anyone feeling old? http://t.co/SBCUH9RDLn,
BaabyAriGrande , @ArianaGrande Happy Birthday my Queen !! I love u so much bae #HappyBirthdayArianaFromBrazil http://t.co/mZRQw96jox x2,
cassidybamber ," HAPPY BIRTHDAY TO MY DAY ONE BESTFRIEND  ilysm beautiful, have a wonderful day. @ericahopkins381 http://t.co/QZHCwEKJqw",
Alex_el_beans , RT @josswhedon: 50 is the new 30! 30 is the new 10 10 yr olds r yet to come Ghosts r future regrets We r the house we r haunting 50 is the ,-1
chxnelxnarry , #CallMeCam CAM PLEASE CALL ME ITS MY BIRTHDAY TODAY AND THIS WILL MAKE AN AMAZING BIRTHDAY PRESENT PLEASE CAM @camerondallas  x150,
ane_andriana ," @Harry_Styles My birthday is in 2 days, can you please follow me and make me the happiest girl on this planet? Love you so much. xxx7.027",
BieJustinLove ," @arianagrande Happy birthday ariana,Wish u all the best,I'm always love you,please follow me,make me smile,I love you *20",
Saskiafern ," SO PROUD!!! cr: keitadj #tohotreetour in 3 years, Tohoshinki has set a new record and attracted 2 mi http://t.co/RgcW0X7WhO via @snxy",
nutellaNpizza , RT @HappmeMe:  you kinda remind me of the 16 year old version of me. I totally think we could get along. You cool bby ,
_Emilaayyy , RT @_Oddriana: HAPPY 18 BIRTHDAY  @_Emilaayyy,
Queen21OFFICIAL , RT @ilove2ne1girls: Bom used to be in a soccer team while she was in US for 4 years during highschool and what she does is dribble and ches,
max_amilion , RT @ConsuelaTbh: Noo... Noo... You ten years old... Why you have an iPhone,
123ShazzaBirdy , 55 HEY HARRY! My birthday is the 3rd august This is all I want It would mean the world If you followed me Ilysm @Harry_Styles ,
TKOF1001 ," RT @RockabillyJay: I have to explain what to do during a school shooting to my 7yr old, but by all means lets freak out about gay marriage.",
ashtonsillitis ," @Luke5SOS luke hemmings from 5sos, please follow me and my sister (@hugscliffoconda) it's her birthday today!  we love you!  x99",
fuxkingjerry , @yelyahwilliams @yelyahwilliams ITS NY FRIEND KAITLIN CORLEWS BIRTHDAY AND SHE IS GOING TO YOUR CONCERT PLEASEEE SAY HAPPY BIRTHDAY TO HERx3,
syarifah_ah1793 , RT @Bootfietser: My mother just called me and told me: Happy birthday my son. Yes it's almost 25th June again. http://t.co/XRoDSZK2f4,
BIEBVRLUKE ," luke from 5sos aka luke5sos, its my birthday tomorrow and it would mean the world if you followed me  i love you @Luke5SOS  48"
kelly_5SOS_ , @camerondallas #CallMeCam please for my 16th birthday
babychung , @lhommewalk omg wait u were 6 in 2005 how old are you
hizkia182 , RT @INDOBARCA_BDG: Feli 27th Aniversari Lionel Andres Messi. Happy Birthday Lionel Messi #Messi27 http://t.co/UKOqduFHjN
nowsuay , RT @khunstar: RT @jejelynn: [Real 2PM] Nichkhun's Surprise Birthday Party  http://t.co/r1BVep7QdM http://t.co/1OMkp015rj
nafs909 ," RT @tyleroakley: Even 10 years after forming, I'm STILL obsessed with the Spice Girls. I live for queen @OfficialMelB on @NBCAGT. SLAY ME S"
gaarenaslange ," RT @FootballFunnys: Happy Birthday to one of the greatest footballers ever, Zinedine Zidane! #FRA http://t.co/Qbg20ce390"
JORGE_C_NY , RT @Miguel_layun: @FIFAWorldCup: Happy birthday to @Miguel_layun (26) #MEX - http://t.co/z9eduTsTEl/thanks this is the best way I could e
ShaunMcEvoy77 ," @JeremyWGR True. System is good. But every 4 years, it seems like its time to nitpick the faults of the ""4 major sports"". #goodforthegoose"
dylan_kekh , 16 unique inspiring holiday gifts for your family and friends http://t.co/KPTYEiLNGw #Birthday #Wedding #Anniversary #Gift @retwitclub 10
Goldo_edgardo , RT @worldsoccershop: Win a limited edition pair of @adidassoccer #F50 #Messi Birthday Boots! Follow &amp; RT to enter! #allin or nothing. http:
cynicalmahone , @AaronCarpenter_ bc I won't be home and you should follow me bc it's my birthday:)) http://t.co/nkrT0c1pF5 2
FatySaucedoo99 , Hiii @Luke5SOS  Luke Hemmings band @5SOS Might follow me before my birthday December 12?  means a lot to me please I love you 1380
yemane00 , RT @worldsoccershop: Win a limited edition pair of @adidassoccer #F50 #Messi Birthday Boots! Follow &amp; RT to enter! #allin or nothing. http:
jaelynnnpitreee , RT @tayyloorrenee: I love forty year old virgins.
mrsdallas7 , #callmecam please cam make my day 2829373 times better and my birthday is in 6 days love you to the moon and back  @camerondallas 52
austin_roe , RT @worldsoccershop: Win a limited edition pair of @adidassoccer #F50 #Messi Birthday Boots! Follow &amp; RT to enter! #allin or nothing. http:
ljubiperic , @camerondallas tomorrow is my birthday and i would be very happy if you call me :) please #callmecam x128
shxnsleysgirl , @jlo TODAYS MY BIRTHDAY PLEASE WISH ME A HAPPY BDAY OR FOLLOW ME ILYSM MAMA!! #myakajlo #jlofollows #jloaka 55 http://t.co/5uuOuNYo7S
NatashaHessling , RT @Yankees: Icon. Champion. Captain. Happy 40th birthday to Derek Jeter! http://t.co/fbVZEWxmvc http://t.co/tllUxkbHPo
holljonesxx ," Happy birthday to one of my best friends @neeshy_xo !!!! Can't wait for tommorow, have a fab day. Love you lotsxxx http://t.co/gXdsKbypay"
VHSGlitch , @HotlineMiami it's one of the best games I've played in years. I can't wait for part 2. Thanks @devolverdigital @dennaton
OriDomingues11 , @ArianaGrande My best wishes for you. I hope passes the best birthday of your life. Thanks for everything. ILY #HappyBirthdayAriana 211
4Mareea ," RT @BarackObama: It's been 51 years since the Equal Pay Act was signed, but women still don't have equal pay. #TimeForProgress http://t.co/"
swagchamp58 , @Things4WhitePpl: Being a huge soccer fan once every 4 years 
KunalSingh1111 , RT @PrakashkumarMo3: I want to clap for Indias Andha Kanoon! 8 months+ jail to innocent 75 years old senior citizen Asaram Bapuji #Conspir
MattLynch69 , RT @FootballVines: Happy 27th Birthday Lionel Messi. This was him in 2007. Boss from day one! http://t.co/3xbayWrrqS
blissfullirryy , @Harry_Styles hii harry! my birthday is in 5 days and a follow of you would be the best present I could ever ask for i love youu!!692
